"cancer","endpoint","score","n","events","HR_per_SD","CI_low","CI_high","p_cox","padj_by_endpoint_score"
"KIRC","DSS","MDR_injury",912,208,1.25161671273233,1.0787935493788,1.45212621682152,0.00307289124852965,0.0112672679112754
"PAAD","PFI","MDR_axis",182,107,1.31520397894305,1.09610849240586,1.57809333493162,0.00320900729087886,0.0186122422870974
"KIRC","OS","MDR_injury",932,333,1.19041744764537,1.05863511401858,1.33860447371639,0.00359285876944702,0.0123183729238183
"LIHC","OS","MDR_axis",422,167,1.23615083763078,1.07171824570621,1.42581214745332,0.00360247672612944,0.0153533559708232
"LUAD","OS","MDR_axis",621,238,1.20040387848273,1.06059579740455,1.35864150603148,0.00383833899270579,0.0153533559708232
"GBM","PFI","MDR_resolution",158,125,1.28734691328166,1.08375347984522,1.52918731607902,0.00403176303515236,0.114919164202768
"CESC","PFI","MDR_axis",296,73,1.41044921522168,1.10826601722355,1.79502660715272,0.00518060047141374,0.0231377119412173
"UVM","OS","MDR_resolution",79,22,1.84523090159464,1.19872967068652,2.84040444101945,0.00537597021888678,0.0659041331143826
"THCA","PFI","MDR_axis",576,65,1.46656036350843,1.11861967857813,1.92272614276538,0.00558496495132832,0.0231377119412173
"CESC","DSS","MDR_injury",292,56,1.48223746691404,1.1215384770738,1.95894118056118,0.00567196247757304,0.0178261677866581
"UVM","PFI","MDR_apc_ifn",78,28,1.5833671078244,1.13794729253434,2.2031349031612,0.00639686814500897,0.0927545881026301
"LUAD","DFI","MDR_axis",374,112,1.27423569659088,1.06987475536652,1.51763241661888,0.00658248877844743,0.0677820726134304
"LIHC","DFI","MDR_axis",358,167,1.2388690246171,1.06092666846082,1.44665649924927,0.00677820726134304,0.0677820726134304
"KIRP","PFI","MDR_axis",343,69,1.37687348936952,1.09139871346573,1.73701927841618,0.00698186983693613,0.0253092781588935
"STAD","OS","MDR_resolution",436,176,1.2415739609422,1.06031770340822,1.45381511176771,0.00720179294332798,0.0659041331143826
"PAAD","PFI","MDR_injury",182,107,1.33628125401703,1.08102411264586,1.65181106410925,0.00735557329123799,0.0533279063614754
"LUAD","DSS","MDR_axis",582,155,1.23032087239471,1.05686643810773,1.432242896993,0.00751104385924917,0.0330485929806964
"LGG","DSS","MDR_resolution",508,115,1.30836264509584,1.07339902721972,1.59475904828801,0.00778419123775153,0.0909867662884407
"LGG","OS","MDR_resolution",516,128,1.28999539867971,1.06795591384691,1.55819927305855,0.00823801663929783,0.0659041331143826
"KIRP","OS","MDR_injury",346,59,1.4251785612527,1.09485584632333,1.85516105912492,0.00844880976333329,0.0253464292899999
"KIRP","DSS","MDR_injury",342,38,1.52862553040828,1.10810790967848,2.1087260471717,0.00972784146604318,0.0267515640316188
"PAAD","DFI","MDR_injury",72,24,2.12890420808442,1.19330103049026,3.79806353249982,0.010518297203461,0.210365944069221
"UVM","DSS","MDR_resolution",79,20,1.77992424736939,1.14287545806695,2.77206961091985,0.0107480187610705,0.0909867662884407
"LGG","PFI","MDR_resolution",516,201,1.21060511549582,1.04424962060962,1.40346208103869,0.0112750008336989,0.114919164202768
"KIRP","DSS","MDR_axis",342,38,1.50206979500817,1.09645944067549,2.05772651990294,0.0112969734113891,0.04142223584176
"UVM","PFI","MDR_injury",78,28,1.67043944293133,1.12278930302792,2.48521064902892,0.0113624123212058,0.0659019914629937
"PRAD","PFI","MDR_resolution",563,95,1.31553944631683,1.06243292752601,1.62894427495351,0.0118881894002864,0.114919164202768
"KIRC","DSS","MDR_resolution",912,208,0.848311015718811,0.745677500369052,0.965070796736818,0.0124072863120601,0.0909867662884407
"BLCA","OS","MDR_injury",429,192,1.21218762310211,1.0403280004822,1.41243803196768,0.0136329583792245,0.036354555677932
"PAAD","DSS","MDR_axis",176,74,1.30453661941626,1.05335333754603,1.61561722048812,0.0148378253687227,0.0466331654445571
"STAD","OS","MDR_injury",436,176,1.19344306560537,1.03223904179325,1.37982220510393,0.0169159169643007,0.038503700394537
"THYM","PFI","MDR_apc_ifn",120,23,1.60816480115999,1.08630082237494,2.38073466798621,0.0176197020187051,0.146235339530193
"LUAD","OS","MDR_injury",621,238,1.15336801674323,1.02496294651956,1.29785938756454,0.0178169390857044,0.038503700394537
"SARC","OS","MDR_apc_ifn",268,101,0.796675782562054,0.659898145468809,0.96180343417992,0.0180203464631341,0.117487709555505
"ACC","OS","MDR_injury",77,27,1.56884476690674,1.07598723262101,2.2874564195852,0.0192518501972685,0.038503700394537
"PAAD","OS","MDR_apc_ifn",182,95,1.27923094816258,1.04027881738382,1.5730704032332,0.0195812849259176,0.117487709555505
"KICH","PFI","MDR_injury",89,15,1.84358703826108,1.09618628348156,3.10057990951083,0.0210997077608246,0.101981920843985
"KIRP","OS","MDR_axis",346,59,1.34590990630343,1.04481460815085,1.73377502741057,0.0214893836700358,0.0736778868686942
"LIHC","DFI","MDR_apc_ifn",358,167,0.825266551648815,0.699266051533395,0.973971036884809,0.0230883641137414,0.222873391796774
"GBM","PFI","MDR_apc_ifn",158,125,1.24367986814883,1.02835314919007,1.50409381802049,0.0245635566505681,0.146235339530193
"BRCA","PFI","MDR_apc_ifn",1215,173,0.849292242934805,0.736090600564026,0.979902899665533,0.0252129895741712,0.146235339530193
"LUSC","OS","MDR_resolution",608,278,1.1456480863157,1.01545565556467,1.29253259902223,0.0271637791604469,0.162982674962682
"MESO","OS","MDR_injury",85,73,1.33752242005896,1.03269587927793,1.73232629282034,0.0275410919735359,0.0507675531783066
"BLCA","DFI","MDR_apc_ifn",192,31,0.667771114442859,0.465180805043075,0.958591275585773,0.0285793733442135,0.222873391796774
"COAD","DSS","MDR_injury",317,42,1.399626858841,1.03395748045124,1.8946188610524,0.029547345517254,0.0675351801571692
"HNSC","OS","MDR_injury",591,268,1.15576468546444,1.01442789003178,1.31679345697491,0.0296144060206789,0.0507675531783066
"CESC","DSS","MDR_apc_ifn",292,56,0.762771155247955,0.597435597202425,0.973862016262092,0.0298223128680101,0.161603259621887
"ESCA","DSS","MDR_injury",196,52,1.37830283439609,1.03029417849452,1.84386046525098,0.0306978091623496,0.0675351801571692
"SKCM","PFI","MDR_apc_ifn",103,38,0.71220946291292,0.522768452505783,0.97030017138821,0.0314716560598758,0.1521130042894
"LUSC","DFI","MDR_axis",358,80,0.777425669191155,0.616910952718412,0.979704880346301,0.0328644688737627,0.219096459158418
"LIHC","PFI","MDR_injury",423,212,1.16393015560666,1.01185055976843,1.33886708274449,0.0335976145655951,0.139190117486037
"LUSC","OS","MDR_injury",608,278,1.1356787833912,1.00810668931745,1.27939464415038,0.0363696456846656,0.0546350708369028
"ESCA","OS","MDR_injury",200,83,1.27921511251584,1.01568214842697,1.61112539648674,0.0364233805579352,0.0546350708369028
"KIRC","OS","MDR_apc_ifn",932,333,0.896452048584916,0.809117327581668,0.99321352789961,0.0366022242826542,0.162074830315173
"PAAD","DSS","MDR_apc_ifn",176,74,1.28199483201033,1.01486767119837,1.61943354384372,0.0371821843136123,0.161603259621887
"HNSC","DFI","MDR_resolution",135,29,1.51780040866377,1.02442661454593,2.24878780756884,0.0374998140312275,0.5518146159004
"LUAD","PFI","MDR_apc_ifn",621,269,0.887833052531888,0.793448656636593,0.993444909856487,0.0380190565857794,0.157507520141086
"ACC","PFI","MDR_axis",77,40,1.4260387258766,1.01939944852197,1.9948867449833,0.0382518011988257,0.123255803862883
"KIRP","DFI","MDR_apc_ifn",193,28,1.47711864991172,1.02070835099637,2.13761306428733,0.0385781509447118,0.222873391796774
"BLCA","DSS","MDR_injury",412,129,1.21470888401326,1.00941114998449,1.46176082255819,0.0394818227852337,0.0789636455704673
"ACC","OS","MDR_axis",77,27,1.54873011760813,1.01981100961899,2.35197007539919,0.0401708374601254,0.120512512380376
"COAD","DSS","MDR_resolution",317,42,1.36962811952833,1.01269863144933,1.85235876453988,0.0411634270575568,0.226398848816562
"KIRP","PFI","MDR_injury",343,69,1.27661445205626,1.00460204864166,1.62227865392322,0.0457687325982652,0.165911655668711
"KIRC","DSS","MDR_apc_ifn",912,208,0.878032389170604,0.772467844754875,0.998023259696046,0.046564482044874,0.161603259621887
"MESO","OS","MDR_apc_ifn",85,73,0.773734329455072,0.600540715644965,0.996876309934022,0.0472377083612593,0.162074830315173
"SKCM","DSS","MDR_apc_ifn",103,22,0.648777280845493,0.422457606360511,0.996341298639277,0.0480744129349045,0.161603259621887
"SARC","DSS","MDR_apc_ifn",262,84,0.81311181922797,0.660308775978079,1.00127524367504,0.0514192189706004,0.161603259621887
"CESC","OS","MDR_apc_ifn",296,73,0.807362232920771,0.650878008354447,1.00146842692501,0.0515808596272925,0.162074830315173
"PRAD","DFI","MDR_axis",395,32,0.712568242934152,0.504909843501005,1.00563201009816,0.0538537217112734,0.251812534996609
"GBM","DSS","MDR_resolution",145,110,1.21240800243289,0.996529090647218,1.47505293940655,0.0542030541390906,0.238493438211999
"CESC","PFI","MDR_injury",296,73,1.26291999666976,0.995683546963904,1.60188136366399,0.0543165742793991,0.175020072678064
"KICH","PFI","MDR_resolution",89,15,1.67149266974146,0.990286918185719,2.82129117702379,0.0544274184432591,0.343771700823827
"BRCA","DFI","MDR_apc_ifn",1036,91,0.826481917089028,0.68047419771563,1.0038181632283,0.0546636940540859,0.222873391796774
"PAAD","DFI","MDR_apc_ifn",72,24,1.55361084266497,0.989296209172286,2.43982199473465,0.0557183479491935,0.222873391796774
"SKCM","OS","MDR_apc_ifn",103,30,0.70334455409535,0.490161363273027,1.00924633976105,0.0561320067585433,0.162074830315173
"GBM","OS","MDR_resolution",158,125,1.19039391454098,0.99430274591207,1.42515715419891,0.0577289944871747,0.24397483873878
"UVM","PFI","MDR_resolution",78,28,1.45020495151638,0.985564351858107,2.13389861092035,0.0592709829006599,0.343771700823827
"OV","PFI","MDR_apc_ifn",425,309,0.896715038513686,0.800254836662347,1.00480224980618,0.0604551987337613,0.204023594719061
"THCA","OS","MDR_apc_ifn",576,20,0.65025370452883,0.414673983672355,1.01966821383122,0.0607780613681899,0.162074830315173
